elapsed_ms,frame,scene,event,ms
6652.9835,139,18,Resident previous sort elapsed sum ms,6.5553
6652.9856,139,18,Resident previous RenderMeshes elapsed sum ms,3.8087
6652.9879,139,18,Resident previous RenderMeshes max pass ms,1.9104
6652.9901,139,18,Resident previous RenderMeshes calls,2
6672.7249,140,18,Resident previous build elapsed sum ms,6.7029
6672.7289,140,18,Resident previous sort elapsed sum ms,6.4145
6672.7311,140,18,Resident previous RenderMeshes elapsed sum ms,4.5347
6672.7335,140,18,Resident previous RenderMeshes max pass ms,2.2695
6672.7806,140,18,Resident previous RenderMeshes calls,2
6694.9036,141,18,Resident previous build elapsed sum ms,9.3529
6694.9078,141,18,Resident previous sort elapsed sum ms,6.5854
6694.9099,141,18,Resident previous RenderMeshes elapsed sum ms,4.0182
6694.9124,141,18,Resident previous RenderMeshes max pass ms,2.013
6694.9147,141,18,Resident previous RenderMeshes calls,2
6715.718,142,18,Resident previous build elapsed sum ms,7.041
6715.722,142,18,Resident previous sort elapsed sum ms,6.348
6715.7242,142,18,Resident previous RenderMeshes elapsed sum ms,5.0782
6715.7267,142,18,Resident previous RenderMeshes max pass ms,2.5418
6715.7289,142,18,Resident previous RenderMeshes calls,2
6735.1677,143,18,Resident previous build elapsed sum ms,5.8107
6735.1717,143,18,Resident previous sort elapsed sum ms,6.4123
6735.1739,143,18,Resident previous RenderMeshes elapsed sum ms,4.048
6735.1764,143,18,Resident previous RenderMeshes max pass ms,2.0257
6735.2221,143,18,Resident previous RenderMeshes calls,2
6755.4747,144,18,Resident previous build elapsed sum ms,6.9178
6755.4788,144,18,Resident previous sort elapsed sum ms,6.5097
6755.4809,144,18,Resident previous RenderMeshes elapsed sum ms,4.1797
6755.4832,144,18,Resident previous RenderMeshes max pass ms,2.0929
6755.4853,144,18,Resident previous RenderMeshes calls,2
6775.004,145,18,Resident previous build elapsed sum ms,6.199
6775.0087,145,18,Resident previous sort elapsed sum ms,6.4779
6775.0167,145,18,Resident previous RenderMeshes elapsed sum ms,3.7254
6775.0197,145,18,Resident previous RenderMeshes max pass ms,1.8666
6775.0219,145,18,Resident previous RenderMeshes calls,2
6798.6826,146,18,Resident previous build elapsed sum ms,7.1711
6798.6869,146,18,Resident previous sort elapsed sum ms,6.4459
6798.6893,146,18,Resident previous RenderMeshes elapsed sum ms,9.5676
6798.6917,146,18,Resident previous RenderMeshes max pass ms,4.7893
6798.7964,146,18,Resident previous RenderMeshes calls,2
6825.2591,147,18,Resident previous build elapsed sum ms,7.4764
6825.2635,147,18,Resident previous sort elapsed sum ms,7.0296
6825.2657,147,18,Resident previous RenderMeshes elapsed sum ms,9.1079
6825.268,147,18,Resident previous RenderMeshes max pass ms,4.5562
6825.2707,147,18,Resident previous RenderMeshes calls,2
6846.215,148,18,Resident previous build elapsed sum ms,6.9275
6846.219,148,18,Resident previous sort elapsed sum ms,6.7392
6846.2212,148,18,Resident previous RenderMeshes elapsed sum ms,4.8246
6846.2309,148,18,Resident previous RenderMeshes max pass ms,2.4169
6846.2331,148,18,Resident previous RenderMeshes calls,2
6866.0603,149,18,Resident previous build elapsed sum ms,6.0898
6866.065,149,18,Resident previous sort elapsed sum ms,6.8304
6866.0673,149,18,Resident previous RenderMeshes elapsed sum ms,4.2447
6866.0697,149,18,Resident previous RenderMeshes max pass ms,2.1247
6866.1229,149,18,Resident previous RenderMeshes calls,2
6891.0125,150,18,Resident previous build elapsed sum ms,6.3434
6891.0169,150,18,Resident previous sort elapsed sum ms,9.4773
6891.0191,150,18,Resident previous RenderMeshes elapsed sum ms,6.8085
6891.0214,150,18,Resident previous RenderMeshes max pass ms,4.6532
6891.0237,150,18,Resident previous RenderMeshes calls,2
6916.9578,151,18,Resident previous build elapsed sum ms,5.7994
6916.9772,151,18,Resident previous sort elapsed sum ms,7.106
6916.9799,151,18,Resident previous RenderMeshes elapsed sum ms,4.6994
6916.9827,151,18,Resident previous RenderMeshes max pass ms,2.4481
6916.9849,151,18,Resident previous RenderMeshes calls,2
6935.825,152,18,Resident previous build elapsed sum ms,5.7864
6935.8296,152,18,Resident previous sort elapsed sum ms,6.7563
6935.8317,152,18,Resident previous RenderMeshes elapsed sum ms,4.2983
6935.834,152,18,Resident previous RenderMeshes max pass ms,2.1561
6935.8818,152,18,Resident previous RenderMeshes calls,2
6956.5463,153,18,Resident previous build elapsed sum ms,7.0462
6956.5509,153,18,Resident previous sort elapsed sum ms,6.696
6956.5531,153,18,Resident previous RenderMeshes elapsed sum ms,4.2716
6956.5556,153,18,Resident previous RenderMeshes max pass ms,2.1395
6956.5579,153,18,Resident previous RenderMeshes calls,2
6979.2115,154,18,Resident previous build elapsed sum ms,6.3697
6979.2153,154,18,Resident previous sort elapsed sum ms,10.1344
6979.2176,154,18,Resident previous RenderMeshes elapsed sum ms,7.419
6979.22,154,18,Resident previous RenderMeshes max pass ms,3.7095
6979.2222,154,18,Resident previous RenderMeshes calls,2
7000.2743,155,18,Resident previous build elapsed sum ms,8.4785
7000.2782,155,18,Resident previous sort elapsed sum ms,6.9802
7000.2805,155,18,Resident previous RenderMeshes elapsed sum ms,4.1404
7000.2827,155,18,Resident previous RenderMeshes max pass ms,2.1301
7000.3316,155,18,Resident previous RenderMeshes calls,2
7020.2914,156,18,Resident previous build elapsed sum ms,7.3148
7020.2955,156,18,Resident previous sort elapsed sum ms,6.5985
7020.2977,156,18,Resident previous RenderMeshes elapsed sum ms,4.0375
7020.3,156,18,Resident previous RenderMeshes max pass ms,2.0189
7020.3022,156,18,Resident previous RenderMeshes calls,2
7039.6674,157,18,Resident previous build elapsed sum ms,5.8627
7039.672,157,18,Resident previous sort elapsed sum ms,6.4229
7039.6741,157,18,Resident previous RenderMeshes elapsed sum ms,4.3243
7039.6764,157,18,Resident previous RenderMeshes max pass ms,2.1663
7039.6785,157,18,Resident previous RenderMeshes calls,2
7060.2563,158,18,Resident previous build elapsed sum ms,7.548
7060.2604,158,18,Resident previous sort elapsed sum ms,6.6891
7060.2627,158,18,Resident previous RenderMeshes elapsed sum ms,3.9165
7060.3124,158,18,Resident previous RenderMeshes max pass ms,1.9835
7060.3149,158,18,Resident previous RenderMeshes calls,2
7079.8448,159,18,Resident previous build elapsed sum ms,5.6122
7079.8502,159,18,Resident previous sort elapsed sum ms,6.5966
7079.8606,159,18,Resident previous RenderMeshes elapsed sum ms,4.0992
7079.8629,159,18,Resident previous RenderMeshes max pass ms,2.0538
7079.8651,159,18,Resident previous RenderMeshes calls,2
7101.4917,160,18,Resident previous build elapsed sum ms,7.8285
7101.4958,160,18,Resident previous sort elapsed sum ms,6.5943
7101.4981,160,18,Resident previous RenderMeshes elapsed sum ms,3.8186
7101.5004,160,18,Resident previous RenderMeshes max pass ms,1.9186
7101.5026,160,18,Resident previous RenderMeshes calls,2
7121.2744,161,18,Resident previous build elapsed sum ms,6.9472
7121.2784,161,18,Resident previous sort elapsed sum ms,6.4917
7121.2806,161,18,Resident previous RenderMeshes elapsed sum ms,3.8743
7121.3348,161,18,Resident previous RenderMeshes max pass ms,1.9453
7121.3376,161,18,Resident previous RenderMeshes calls,2
7140.3307,162,18,Resident previous build elapsed sum ms,5.4294
7140.3346,162,18,Resident previous sort elapsed sum ms,6.6628
7140.3368,162,18,Resident previous RenderMeshes elapsed sum ms,3.9862
7140.3392,162,18,Resident previous RenderMeshes max pass ms,2.0867
7140.3414,162,18,Resident previous RenderMeshes calls,2
7160.539,163,18,Resident previous build elapsed sum ms,6.2762
7160.5436,163,18,Resident previous sort elapsed sum ms,6.5999
7160.5457,163,18,Resident previous RenderMeshes elapsed sum ms,4.3428
7160.5482,163,18,Resident previous RenderMeshes max pass ms,2.2501
7160.5505,163,18,Resident previous RenderMeshes calls,2
7181.2006,164,18,Resident previous build elapsed sum ms,7.5817
7181.2048,164,18,Resident previous sort elapsed sum ms,6.891
7181.207,164,18,Resident previous RenderMeshes elapsed sum ms,4.2425
7181.2536,164,18,Resident previous RenderMeshes max pass ms,2.1707
7181.2559,164,18,Resident previous RenderMeshes calls,2
7201.302,165,18,Resident previous build elapsed sum ms,7.8531
7201.3062,165,18,Resident previous sort elapsed sum ms,6.5556
7201.3083,165,18,Resident previous RenderMeshes elapsed sum ms,3.768
7201.3107,165,18,Resident previous RenderMeshes max pass ms,1.9085
7201.3128,165,18,Resident previous RenderMeshes calls,2
7222.102,166,18,Resident previous build elapsed sum ms,7.4813
7222.1058,166,18,Resident previous sort elapsed sum ms,6.5345
7222.1079,166,18,Resident previous RenderMeshes elapsed sum ms,5.0473
7222.1105,166,18,Resident previous RenderMeshes max pass ms,2.5237
7222.1127,166,18,Resident previous RenderMeshes calls,2
7241.9444,167,18,Resident previous build elapsed sum ms,6.5019
7241.9482,167,18,Resident previous sort elapsed sum ms,6.3773
7241.9503,167,18,Resident previous RenderMeshes elapsed sum ms,4.8515
7241.9988,167,18,Resident previous RenderMeshes max pass ms,2.4343
7242.0012,167,18,Resident previous RenderMeshes calls,2
7261.8924,168,18,Resident previous build elapsed sum ms,6.9894
7261.8971,168,18,Resident previous sort elapsed sum ms,6.3967
7261.8992,168,18,Resident previous RenderMeshes elapsed sum ms,4.1982
7261.9016,168,18,Resident previous RenderMeshes max pass ms,2.1037
7261.9037,168,18,Resident previous RenderMeshes calls,2
7281.6469,169,18,Resident previous build elapsed sum ms,6.7227
7281.6512,169,18,Resident previous sort elapsed sum ms,6.2952
7281.6534,169,18,Resident previous RenderMeshes elapsed sum ms,4.1298
7281.6557,169,18,Resident previous RenderMeshes max pass ms,2.069
7281.6578,169,18,Resident previous RenderMeshes calls,2
7302.1579,170,18,Resident previous build elapsed sum ms,8.0545
7302.1618,170,18,Resident previous sort elapsed sum ms,6.7973
7302.164,170,18,Resident previous RenderMeshes elapsed sum ms,3.749
7302.2087,170,18,Resident previous RenderMeshes max pass ms,1.8859
7302.211,170,18,Resident previous RenderMeshes calls,2
7321.8265,171,18,Resident previous build elapsed sum ms,6.096
7321.8314,171,18,Resident previous sort elapsed sum ms,6.7134
7321.8337,171,18,Resident previous RenderMeshes elapsed sum ms,4.1081
7321.8363,171,18,Resident previous RenderMeshes max pass ms,2.0575
7321.8384,171,18,Resident previous RenderMeshes calls,2
7345.7755,172,18,Resident previous build elapsed sum ms,6.6494
7345.7801,172,18,Resident previous sort elapsed sum ms,10.1204
7345.7824,172,18,Resident previous RenderMeshes elapsed sum ms,7.8543
7345.7849,172,18,Resident previous RenderMeshes max pass ms,3.9272
7345.787,172,18,Resident previous RenderMeshes calls,2
7371.6174,173,18,Resident previous build elapsed sum ms,6.0029
7371.6214,173,18,Resident previous sort elapsed sum ms,6.5767
7371.6235,173,18,Resident previous RenderMeshes elapsed sum ms,3.8609
7371.6687,173,18,Resident previous RenderMeshes max pass ms,1.9322
7371.671,173,18,Resident previous RenderMeshes calls,2
7391.393,174,18,Resident previous build elapsed sum ms,7.3116
7391.3975,174,18,Resident previous sort elapsed sum ms,6.4612
7391.3997,174,18,Resident previous RenderMeshes elapsed sum ms,3.9399
7391.402,174,18,Resident previous RenderMeshes max pass ms,1.97
7391.4043,174,18,Resident previous RenderMeshes calls,2
7411.9058,175,18,Resident previous build elapsed sum ms,6.2995
7411.9098,175,18,Resident previous sort elapsed sum ms,6.6146
7411.9118,175,18,Resident previous RenderMeshes elapsed sum ms,4.1008
7411.9142,175,18,Resident previous RenderMeshes max pass ms,2.0603
7411.9163,175,18,Resident previous RenderMeshes calls,2
7436.0338,176,18,Resident previous build elapsed sum ms,6.3464
7436.0381,176,18,Resident previous sort elapsed sum ms,10.5134
7436.0404,176,18,Resident previous RenderMeshes elapsed sum ms,6.892
7436.0847,176,18,Resident previous RenderMeshes max pass ms,3.446
7436.0869,176,18,Resident previous RenderMeshes calls,2
7456.1763,177,18,Resident previous build elapsed sum ms,7.0254
7456.1802,177,18,Resident previous sort elapsed sum ms,6.4829
7456.1825,177,18,Resident previous RenderMeshes elapsed sum ms,4.3088
7456.1849,177,18,Resident previous RenderMeshes max pass ms,2.1671
7456.1869,177,18,Resident previous RenderMeshes calls,2
7476.3205,178,18,Resident previous build elapsed sum ms,6.4628
7476.3273,178,18,Resident previous sort elapsed sum ms,6.4748
7476.3303,178,18,Resident previous RenderMeshes elapsed sum ms,3.99
7476.3333,178,18,Resident previous RenderMeshes max pass ms,2.0003
7476.3362,178,18,Resident previous RenderMeshes calls,2
7497.9032,179,18,Resident previous build elapsed sum ms,5.8502
7497.907,179,18,Resident previous sort elapsed sum ms,6.7121
7497.9092,179,18,Resident previous RenderMeshes elapsed sum ms,6.0143
7497.9598,179,18,Resident previous RenderMeshes max pass ms,3.0108
7497.9621,179,18,Resident previous RenderMeshes calls,2
7517.5828,180,18,Resident previous build elapsed sum ms,5.9626
7517.5868,180,18,Resident previous sort elapsed sum ms,6.8336
7517.589,180,18,Resident previous RenderMeshes elapsed sum ms,4.3127
7517.5914,180,18,Resident previous RenderMeshes max pass ms,2.1592
7517.5936,180,18,Resident previous RenderMeshes calls,2
7536.7853,181,18,Resident previous build elapsed sum ms,4.9727
7536.7899,181,18,Resident previous sort elapsed sum ms,6.8496
7536.792,181,18,Resident previous RenderMeshes elapsed sum ms,4.0255
7536.7943,181,18,Resident previous RenderMeshes max pass ms,2.0171
7536.7966,181,18,Resident previous RenderMeshes calls,2
7558.2641,182,18,Resident previous build elapsed sum ms,6.858
7558.2687,182,18,Resident previous sort elapsed sum ms,6.8736
7558.2711,182,18,Resident previous RenderMeshes elapsed sum ms,3.9717
7558.3529,182,18,Resident previous RenderMeshes max pass ms,1.9923
7558.3552,182,18,Resident previous RenderMeshes calls,2
7577.7881,183,18,Resident previous build elapsed sum ms,5.2769
7577.792,183,18,Resident previous sort elapsed sum ms,7.0949
7577.7941,183,18,Resident previous RenderMeshes elapsed sum ms,4.1188
7577.7963,183,18,Resident previous RenderMeshes max pass ms,2.1426
7577.8056,183,18,Resident previous RenderMeshes calls,2
7600.5801,184,18,Resident previous build elapsed sum ms,6.6493
7600.5844,184,18,Resident previous sort elapsed sum ms,7.0284
7600.5866,184,18,Resident previous RenderMeshes elapsed sum ms,6.4427
7600.5889,184,18,Resident previous RenderMeshes max pass ms,3.229
7600.591,184,18,Resident previous RenderMeshes calls,2
7620.8447,185,18,Resident previous build elapsed sum ms,6.7251
7620.85,185,18,Resident previous sort elapsed sum ms,6.824
7620.8524,185,18,Resident previous RenderMeshes elapsed sum ms,4.0542
7620.8981,185,18,Resident previous RenderMeshes max pass ms,2.0339
7620.9005,185,18,Resident previous RenderMeshes calls,2
7639.7365,186,18,Resident previous build elapsed sum ms,5.4408
7639.7405,186,18,Resident previous sort elapsed sum ms,6.8922
7639.7427,186,18,Resident previous RenderMeshes elapsed sum ms,4.1752
7639.7451,186,18,Resident previous RenderMeshes max pass ms,2.0912
7639.7473,186,18,Resident previous RenderMeshes calls,2
7660.5948,187,18,Resident previous build elapsed sum ms,6.6966
7660.599,187,18,Resident previous sort elapsed sum ms,6.8027
7660.6011,187,18,Resident previous RenderMeshes elapsed sum ms,4.4277
7660.6035,187,18,Resident previous RenderMeshes max pass ms,2.2236
7660.6056,187,18,Resident previous RenderMeshes calls,2
7680.4283,188,18,Resident previous build elapsed sum ms,5.7948
7680.4324,188,18,Resident previous sort elapsed sum ms,6.8936
7680.4346,188,18,Resident previous RenderMeshes elapsed sum ms,4.9441
7680.4842,188,18,Resident previous RenderMeshes max pass ms,2.5697
7680.4864,188,18,Resident previous RenderMeshes calls,2
7700.2509,189,18,Resident previous build elapsed sum ms,6.0681
7700.255,189,18,Resident previous sort elapsed sum ms,6.9734
7700.2572,189,18,Resident previous RenderMeshes elapsed sum ms,4.5653
7700.2595,189,18,Resident previous RenderMeshes max pass ms,2.2856
7700.2617,189,18,Resident previous RenderMeshes calls,2
7721.8113,190,18,Resident previous build elapsed sum ms,9.273
7721.8157,190,18,Resident previous sort elapsed sum ms,6.5869
7721.8179,190,18,Resident previous RenderMeshes elapsed sum ms,4.5568
7721.8204,190,18,Resident previous RenderMeshes max pass ms,2.292
7721.8225,190,18,Resident previous RenderMeshes calls,2
7742.0995,191,18,Resident previous build elapsed sum ms,5.7912
7742.1035,191,18,Resident previous sort elapsed sum ms,6.7671
7742.1057,191,18,Resident previous RenderMeshes elapsed sum ms,4.2833
7742.2671,191,18,Resident previous RenderMeshes max pass ms,2.1429
7742.27,191,18,Resident previous RenderMeshes calls,2
7762.6333,192,18,Resident previous build elapsed sum ms,5.868
7762.6377,192,18,Resident previous sort elapsed sum ms,6.5559
7762.6398,192,18,Resident previous RenderMeshes elapsed sum ms,4.2256
7762.6421,192,18,Resident previous RenderMeshes max pass ms,2.1183
